WHORegionName,Year,Iso3,CountryTerritoryArea,Specimen,PathogenName,AntibioticName,InterpretableAST,Resistant,ResistancePercentage,SourceFile
European Region,2021,MDA,Republic of Moldova,Bloodstream,Acinetobacter spp.,Meropenem,62,59,95.161290323,Resistance_to_antibiotics_in_2021_European_Region-Bloodstream.csv
European Region,2021,RUS,Russian Federation,Bloodstream,Acinetobacter spp.,Meropenem,525,407,77.523809524,Resistance_to_antibiotics_in_2021_European_Region-Bloodstream.csv
European Region,2021,SWE,Sweden,Bloodstream,Acinetobacter spp.,Meropenem,133,1,0.751879699,Resistance_to_antibiotics_in_2021_European_Region-Bloodstream.csv
European Region,2021,CHE,Switzerland,Bloodstream,Acinetobacter spp.,Meropenem,82,9,10.975609756,Resistance_to_antibiotics_in_2021_European_Region-Bloodstream.csv
European Region,2021,TUR,T<U+00FC>rkiye,Bloodstream,Acinetobacter spp.,Meropenem,3149,2915,92.569069546,Resistance_to_antibiotics_in_2021_European_Region-Bloodstream.csv
European Region,2021,UKR,Ukraine,Bloodstream,Acinetobacter spp.,Meropenem,138,97,70.289855072,Resistance_to_antibiotics_in_2021_European_Region-Bloodstream.csv
European Region,2021,GBR,United Kingdom of Great Britain and Northern Ireland,Bloodstream,Acinetobacter spp.,Meropenem,857,18,2.100350058,Resistance_to_antibiotics_in_2021_European_Region-Bloodstream.csv
European Region,2022,AUT,Austria,Bloodstream,Acinetobacter spp.,Imipenem,68,2,2.941176471,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,BEL,Belgium,Bloodstream,Acinetobacter spp.,Imipenem,51,1,1.960784314,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,BIH,Bosnia and Herzegovina,Bloodstream,Acinetobacter spp.,Imipenem,360,356,98.888888889,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,HRV,Croatia,Bloodstream,Acinetobacter spp.,Imipenem,291,287,98.625429553,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,CYP,Cyprus,Bloodstream,Acinetobacter spp.,Imipenem,202,189,93.564356436,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,CZE,Czechia,Bloodstream,Acinetobacter spp.,Imipenem,85,33,38.823529412,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,FRA,France,Bloodstream,Acinetobacter spp.,Imipenem,850,28,3.294117647,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,GEO,Georgia,Bloodstream,Acinetobacter spp.,Imipenem,89,76,85.393258427,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
